		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010100    1    5    2    3    2    4    2    1  5.950009 0.652832 SUCCESS 127
111010110    2    1    2    4    3    1    5    3  6.012897 0.645787 SUCCESS 128
111011000    1    2    0    0    2    2    5    3  9.024905 0.340199 SUCCESS 129
111011010    1    2    2    0    1    4    4    3  6.608679 0.579380 SUCCESS 130
111011100    5    0    2    3    3    2    2    3  5.950009 0.652832 SUCCESS 131
111100000    4    2    4    3    3    0    1    1  6.671567 0.572447 SUCCESS 132
111100010    1    1    0    0    4    2    1    3  8.836241 0.356298 SUCCESS 133
111100100    1    1    4    1    3    2    4    1  5.761345 0.673945 SUCCESS 134
111100110    3    3    0    1    3    2    0    3  6.482903 0.593305 SUCCESS 135
111101000    2    1    0    3    1    2    1    2  5.446904 0.708915 SUCCESS 136
111101010    0    4    2    1    1    2    0    1  8.773353 0.361775 SUCCESS 137
111101100    2    1    1    1    2    2    2    1  3.752236 0.878757 SUCCESS 138
111101110    4    3    3    1    2    4    3    2  3.533783 0.896552 SUCCESS 139
111110000    3    2    3    1    5    0    1    2  7.456013 0.488323 SUCCESS 140
111110010    2    2    6    2    2    2    2    1  6.734455 0.565535 SUCCESS 141
111110100    2    2    2    3    0    2    0    4  6.482903 0.593305 SUCCESS 142
111110110    4    2    2    2    2    4    3    3  2.686448 0.952469 SUCCESS 143
111111000    3    3    4    1    4    0    2    4  6.860231 0.551785 SUCCESS 144
111111010    3    3    3    0    0    4    0    3  9.087793 0.334944 SUCCESS 145
111111100    3    5    3    2    3    2    0    2  5.950009 0.652832 SUCCESS 146
111111110    3    2    1    1    4    2    0    2  5.635568 0.687978 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    2    0    0    1    0    0    0 15.896255 0.043889 SUCCESS   0
000000011    3    1    3    2    3    0    1    2  4.788234 0.779952 SUCCESS   1
000000101    0    1    5    2    2    1    3    5 10.123792 0.256445 SUCCESS   2
000000111    3    2    4    2    3    2    0    5  6.860231 0.551785 SUCCESS   3
000001001    4    3    0    3    2    0    2    1  7.330237 0.501457 SUCCESS   4
000001011    1    3    4    3    1    2    4    4  5.228451 0.732903 SUCCESS   5
000001101    3    0    2    1    1    4    2    6 10.971126 0.203341 SUCCESS   6
000001111    2    2    3    1    5    3    4    4  6.201561 0.624665 SUCCESS   7
000010001    1    1    1    3    0    3    1    2  6.294238 0.614310 SUCCESS   8
000010011    3    2    2    3    3    3    5    3  3.659559 0.886460 SUCCESS   9
000010101    3    6    3    1    3    3    2    2  6.986007 0.538143 SUCCESS  10
000010111    1    3    2    0    3    2    4    2  4.914011 0.766726 SUCCESS  11
000011001    2    0    2    0    1    1    5    0 12.162689 0.144091 SUCCESS  12
000011011    5    2    1    3    3    3    3    6  9.716674 0.285477 SUCCESS  13
000011101    2    2    3    2    3    2    1    3  1.587562 0.991157 SUCCESS  14
000011111    3    4    3    1    3    3    2    2  2.623560 0.955720 SUCCESS  15
000100011    2    2    4    2    2    2    3    4  2.623560 0.955720 SUCCESS  16
000100101    3    3    2    5    4    4    2    3  5.480003 0.705254 SUCCESS  17
000100111    2    1    2    3    4    2    3    3  2.560672 0.958842 SUCCESS  18
000101001    2    3    1    1    1    1    1    0  7.015796 0.534929 SUCCESS  19
000101011    3    3    3    2    4    4    4    1  4.506893 0.808743 SUCCESS  20
000101101    3    1    4    3    1    2    1    4  5.039787 0.753315 SUCCESS  21
000101111    0    4    2    1    3    1    1    0  8.836241 0.356298 SUCCESS  22
000110011    1    4    4    1    2    4    5    2  7.833341 0.449917 SUCCESS  23
000110101    0    0    2    4    4    0    2    3  9.872239 0.274108 SUCCESS  24
000110111    4    2    4    3    2    0    3    5  7.833341 0.449917 SUCCESS  25
000111001    1    2    1    2    1    2    1    2  3.752236 0.878757 SUCCESS  26
