		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010001111    5    2    0    3    0    4    0    4 12.602906 0.126262 SUCCESS  55
010010011    2    0    0    1    0    0    0    2 13.480029 0.096366 SUCCESS  56
010010111    2    2    0    4    2    2    3    1  4.851122 0.773363 SUCCESS  57
010011011    1    3    1    3    3    3    2    0  4.851122 0.773363 SUCCESS  58
010011111    3    3    7    7    6    4    6    6 35.295573 0.000024 FAILURE  59
010100011    2    1    0    1    0    1    0    2 10.216469 0.250160 SUCCESS  60
010100111    0    4    2    3    1    4    2    4  6.797343 0.558648 SUCCESS  61
010101011    0    0    1    2    5    4    4    2 10.908238 0.206953 SUCCESS  62
010101111    4    4    3    2    6    5    7    5 22.208233 0.004544 FAILURE  63
010110011    1    1    1    0    2    5    0    4 11.504019 0.174743 SUCCESS  64
010110111    4    3    9    7    7    3    5    2 40.253802 0.000003 FAILURE  65
010111011    6    1    6    4    5    6    5    1 24.624459 0.001799 FAILURE  66
010111111    7    9    7    9   13    7    9   11 160.045666 0.000000 FAILURE  67
011000111    2    1    2    2    4    2    0    0  7.204461 0.514742 SUCCESS  68
011001111    2    4    5    1    5    8    3    7 29.771352 0.000232 FAILURE  69
011010111    4    6    3    1    3    5    6    5 18.630232 0.016967 SUCCESS  70
011011111   12    8   12    7   10   11   14    8 225.071942 0.000000 FAILURE  71
011101111   11   10    9    3    7    4    9    6 107.540739 0.000000 FAILURE  72
011111111   16   20   20   20   19   16   21   24 1008.425736 0.000000 FAILURE  73
100000000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  74
100010000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  75
100100000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  76
100101000    1    0    0    0    0    0    0    1 16.680701 0.033611 SUCCESS  77
100110000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  78
100111000    1    3    1    0    2    0    0    0 11.911137 0.155213 SUCCESS  79
101000000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  80
101000100    1    0    0    0    0    0    0    1 16.680701 0.033611 SUCCESS  81
101001000    0    0    0    1    0    0    0    1 16.680701 0.033611 SUCCESS  82
101001100    1    0    1    0    1    0    1    1 11.785361 0.161041 SUCCESS  83
101010000    0    1    1    0    0    0    0    1 15.048921 0.058201 SUCCESS  84
101010100    1    2    1    0    0    2    1    1  8.584688 0.378532 SUCCESS  85
101011000    2    0    1    1    1    0    0    0 12.632695 0.125128 SUCCESS  86
101011100    3    3    0    1    4    3    3    1  5.824233 0.666913 SUCCESS  87
101100000    1    0    0    1    0    0    0    0 16.680701 0.033611 SUCCESS  88
101100100    3    1    0    2    3    2    0    0  8.773353 0.361775 SUCCESS  89
101101000    1    0    1    2    2    0    1    0 10.216469 0.250160 SUCCESS  90
101101100    1    1    5    4    3    1    2    1  7.518901 0.481816 SUCCESS  91
101110000    0    1    0    0    0    0    0    0 18.312482 0.019002 SUCCESS  92
101110100    2    4    0    2    0    1    1    2  7.988907 0.434555 SUCCESS  93
101111000    2    1    1    0    0    1    0    1 11.000915 0.201647 SUCCESS  94
101111100    8    9    3    5    5    4    6    4 44.742025 0.000000 FAILURE  95
110000000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  96
110000010    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  97
110000100    0    0    0    1    0    0    1    0 16.680701 0.033611 SUCCESS  98
110001000    0    0    0    0    1    0    0    0 18.312482 0.019002 SUCCESS  99
110001010    1    0    0    0    1    1    1    0 13.417141 0.098280 SUCCESS 100
110010000    1    1    0    0    2    0    0    0 14.264475 0.075127 SUCCESS 101
110010010    2    2    1    2    1    0    1    0  7.800242 0.453223 SUCCESS 102
110010100    1    0    0    0    0    1    1    1 13.417141 0.098280 SUCCESS 103
110011000    1    2    1    0    1    1    0    0 11.000915 0.201647 SUCCESS 104
110011010    3    3    1    2    1    1    3    1  3.940900 0.862416 SUCCESS 105
110100000    0    0    1    0    0    0    1    0 16.680701 0.033611 SUCCESS 106
110100010    0    1    0    1    0    0    2    1 12.632695 0.125128 SUCCESS 107
110100100    0    0    0    1    0    0    1    2 14.264475 0.075127 SUCCESS 108
